style;size;path;array
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_410.jpg;0010110000000110101011001000011000011100001010101000100101111000000000011001101000100101100100111101111111010110101001010010101010100101010100010100001011101010100001000101000001010010101010101001010101101010110101011010101101010010110101011010110101101100010010110101101111010100101011010100101011010101001011111101010101101010111111100100000100010101010001010100000101011010101010100100010011101001010110100100100110011011011010010001111111111000110000100001011001001100011010001100001101101010100010000000000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_19.jpg;1000111111001001000000111110010111011001100111011110000001000110010000000100011010000010110010001100100001001110000000101010000001010101111010100000100000000101000101010100001010101101010101010010101010100001010110101101010111101001010110101101011010110101101001010110100101011010110101001010110101011010101101010101101011101001010100000101000101101010101010101010000101011000010110111011110100011011110101111011011111000101100101011010101100110011101101011101100111000001111111111000110010000001011101111111111
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_404.jpg;1111100111100001100100010111010111100000011000001100000000001000110010001000100101101101101101111101011011010001101010010001010110101011111101010101000101010001010100010101000111111010101010010101011010101001010101101010010101101010010101101011010110100101001010010100101001010010101101001010101101010010101011010101010110101010110100010101000101010101010100000000000101010001011010111011010101101011010100111101001111011011011011011001100100010001100111000011000000011100100000000010110111010001011101011111011
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_31.jpg;1111001101111101111010000000001010000000000001001111110111110111101010111010001101111101101001011010000100101101011111101101010100001010101011101110101101010100000010111111101010100001010100111011111110110001001011101101010110100101001010110101111011010011100101001110010100101011010000111001010100111010010100000011101010000101010101101110101011101010101011101010101111110111000001010111101111110100011010110111100100101111011111011101101000100011100111010111100111110000001111111000100110110101011100011111111
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_25.jpg;0111001011100000000101111110101001111000100001011101010000100001010110000000101111110111110111011101110111010111101111010101111010100001010100000000000000000000000000000001010101011110101010110101010110101011010001011010111101010011111101000010100001001010010100101001010011100101001111101101000010101010010100001110101011110001010000000101101010101010101010101110101010101100000000000110101011010101101100011011001110010011011111011011101110101010000101000110001010100000100000001100001000000000000011011111111
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_174.jpg;1111100111111111011110010001011100111111111100110011111010111001100010011000101100100101100100101101001010010100101010000000011010101111010101010001010101000000000000000000010000011010101010100100000001101010110001011110110101011111110101011010010100101000010010110101011011010100101011000101111011010100001010101110000101010101101111111111110000101101000100010100000001000000111010100100000101000011100101011011010010010010010110000010001000100000011101000100000011100000001001000001011000000000011100000001011
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_160.jpg;0000110001011111011111110001110100001000111000001111100011100010000000010011001001101100101101101001001010010100101011010100001010101000010100000000000100000000010000000100000000001010010111110000111110010111000111101011100101001011000100101101011100110010000001101010010010101100011100100100001010101110101001000010001010101101000100010101100010101011111110111111101110100001010001001111001001100000000010001001011010001011011011110011001101110111011100110000011000000000001010100111011101001010110010100010000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_202.jpg;0000101000001000000010010000000010101000111001110111101111101111011101010100111011001001101001011011010110101001011010111101010101101010111010111010100101010001010110111111101110101011010100010111101010010001011010101101000110101101011010110101101011010111101101011010110101101001010110111001000101101011010101010010101110010101000100011110101011101011111110101010101010101011110101010101101010110001001011010110100101101101101101110101110101000100110011000011100000101000111110001101111011001010111100101000000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_217.jpg;1111111100001000000010000010110000000001111100011101100101111101010100010101010010000010010010000010100100101101010010101101010101000001111110111111111110101011111010111111110000000000000010101110100001010000111010010100101010010100101000010010110001001010010010110101001011010101101011010101101011000000001010101000000101011011111110111100010100010101010100010001010101010100101010101101010110101011010110101101001011011011011001001000100010001000100111001111000000110001110111100000100010000000010000000000000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_203.jpg;1000010111111011001111000000010100001011100010001010000110110101011100110100001001011100001001001001110111011111010001001010000000001110111110111111000101010001010010101011110110101111100111000001011010101011001101001110101001001111101101000010110100101001010010100101001110010100101010010100101010010001001010111001010101001011111110111001010100011011111110101010111110100101010100011010101001010110101100010010100000100100100100100100010011001100011010100010100001100000100000111101011101011010010000000000000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_149.jpg;1000100011011111111010001011011111111100000000101110100010101100011101110111110110010010010010000011100010101000010010101001010101111010101110000101000101010001111110111111101110101101001000010010000011010010101010100101011011100101011010110101101011010110100101001010010010101000010010101001010010101111100101001010101110100001010000111111111110101111111110101010101111010101000000010010001001000110101101001010010010110110110110100010001000100111011100010101000101110111110111110111111110000001011101111100100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_161.jpg;1111010111000000100101111100111111011111000111011000100011001101011001100110010111001001001001011111011111100101101011010101011110101111010000000000010101000000010100000001000100011011111011010101000111111001010100111110000101101010000100101011010110101001011011110101101110010010101000010100101010010100001011100001010100001010111110100101000101010101010000010101010101111010101010101001010101111110010100101001001000000000101000000110110011011100111001100000000010100000110000000010100001101000000000001000100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_175.jpg;1011111100111111000000100010001010011110100011100000011010001000111011001100100000100010010110110100101101001011101111100001010100111111111010111111010101010101010101011110101010101010100101010110101011100000010010101001010000101011010110101001010010110101111011010010101001011110100101001110100101000011101001010100001111111010010100010001000101101111111110111110111100010101000100011010101101010111101100011010110110110111110110010010111001110110001000001000111111000111111100011100001101111111110101100000001
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_24.jpg;0010000000100100110100001111100000100000110001101111100011101110001100111010100100010100101001111111111111101011010110111111110111100101111011111111101111111111101011101010101110010101010101011111101100010100101010100101001010100100001010010101101001010011100100001010010001101001010010101001010100101011010100010010101110110101000000010100111111111111111010101010100101010000010011111010100100011111111100011010000111110001111100011100110110011001111011110011111100111111011101010111100111001000001010000111110
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_30.jpg;0000001000001100000100100110000010000000000011000100001010001110111000110011011101001001001101011001010111110101101010010101001110101001010100010101010101000001000100010000010101011110101010110101000110101110010101001010100101001010100100001010010000101001001010110101101011010110101001010010101001010000101011100101010000101010111011100001010100000101010000000100010101010110101010111001010100101011010100101101001111011011011011011001001100100010100111001111000011111111110110000000000000101010110010000010100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_363.jpg;1100010011000101111101011111010111100001100000011100000110001101010101010110010111010011011010010010100100101001010110111101010100101010111011010001000000000000010101011110101011101101010100010111101010100101010110111001010100101001010010101001001111110101101010010010100001011111110101001010010101001111101001010000101111111101000101010000101011111011101010111011101110101101010101010011111011010001111011010110111001101100101101101110110010001101110001110001111111111111011110011011000110100000000010001111110
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_405.jpg;0011111111110001011000000101111100111101011101010110000111111111001000100110010010000010011011000110100000001000010000111011000001001010111010101110100101010000010000000000000010101010101001000000000001001011101101010110111100001010110101111111010100101001001010010100101101010010101000010010101111010101111011000101010100011010111011110101000000000001000101010101010101010100101011110000010011101100011010110000100101101101101100110100010101010100011010010000011011110000000000001010001000000000010000100000100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_18.jpg;1100000000001101010100101111111101111001111000111110001110001101011001100100110010110011110110000010000000001000111010001000001011001010001011101110101010101010101010111011111111101101010101010111111110110001010101101111000100101111000110101101010110110001101010000110111001011010110001010010110101011101111110010000010110111110100000010101010100000101010110010000000100000000010010111010100101001011110100001000010110010011010011010101000100110001010111110110000110110001011110011100001000101000100110010101111
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_411.jpg;0001101000000101010110110111000111011000000011001011101100001100100000000100111011011000011011011010010100101101010010101001000101101010111010111101000100000001111111111111101110101011010101010011101010110100000110101101010011101101010110101101011010110101101001011010110101101011010100111011010101101010110101010110101111100001000101010100111011101111101010111111111110110101010101011010101001010110101101010010110110100101111101110101010111011101010101110101111111110101110100010111000100111000001010100000100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_407.jpg;0010100000111010001001011101110000000000100000001111011101110111100010101010101001101101101110100100101101010010100100010111111110010101000101010101111111111110111000000000101000000101000000001111101011110100001110100110001001010110101100001010110001101000010010100101001010010100101010010100101010010101001011101100010101001010111010101000000000010101000101010101000100011111101110110101010110101001000010100101101100000000110100100100110110011100010000000000011000101000000010100100001000001010100010000110000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_361.jpg;0110001001001010101001001101111011000111010001010111000000011001100110011001000101100100100100110101001101011011111001001100101001111010101111101111000101010000010010101010000000000100010010101110000100001010111000010000101010010000101011010110101101011110110100111101010111101001000010110101001110100101010011101110010101010000011110101110101011111000010101011110101011101010100000000000001110110000011010100100101001101001101001111101100100010000000011000100001001000000110010011101100100100101011101110011100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_413.jpg;0000111000011100000101100110100111111001111101110001111100111001100110011001100100100100100100101101001011010010101001010111101010100001000101010000000010101011000100010101010101010010101010111100010101101010110000010010101000010010110100001010110101101011010010110001001111100101001011010101001011100001010011111010010101010001111111000010100010110001010101010000101111111111010101010010101010100100101010000100101001001001101101111100110111011010000000000111110001011000001101011001110111000001001100011111100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_26.jpg;1111101000100000111000001100010001100010001011101010100000101100010001000101110010110010110110100101101001010011101100010011101010110101000101010000101111101111101110000100000100010100101011101100000101101010110000010010101000010010101000010010100101101100011011010000101010010100111100010100111111000001101011100101000101101011111010111000010100000001010100010100010101011011011110100101110110011011110001110111001101110101101001000100110010000000010010000010001000101100000000001000011100101010100010000101110
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_32.jpg;0011111011000000000010001101000011010000000000100010001101111010100010001000101100110110010110110100101001001010100101001010101001010001000100011110101010101010101110111011100101010001000010111010110101010011111001010100101111010101101001010010100101001111010110101111000100101100011010111101010110101111101000101101100111100000001110101110111100010101010100000000010001001110101111100001010011101001010110100101101001001011011011001000101011100010010000010101100000100111100111100000101101100000101000110111100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_163.jpg;1100000000000100001000110111101001100000000111000101110110100000100100011011001001001101110100111001000110101101011010111101000101111011101010100000000000000101010100010101101010101110101001010100011011101001010010101011010101101011010111111101011110110101101000010010110101001011110101111011010101111111110100010010111000100101010000000000101010101010111010001111111011111010100000000100101010100101101110110000100100101101101001000100110011001101110000111000110100110101110101101110101010000000000010001100100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_215.jpg;0111011101011011111111011001110100011101101000001001100000100000000000000100001010110110110010100000001000011010110000011010101011010001010100111111111111111011111111111010110101010001010101111010101101010101101010100001011110110001011010110101101010010100111100011010110101101011010111101111000101101010110000010100101010111101000100000100000010101010101010111110100101010001000010101010100101010010100100111011011010010010010010000011010100100000001110010111000111111001110101000000110010000000000001001011001
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_201.jpg;1111000001010101111101001000100010001100101111001001000001111001100110011011101101101101101100111001001010110101011111010100001000111010010000000000010000000100010001000000001110111011101110010101001011101011000101101010110100011010110101101011000011101100011010110101101111010110101100010110101011010000101010000001010011101010111100000001010000000000010100000000000101010101010110111110000001001010110101101101011111010011011010011001100100011001101111010111100010001110100000000000011111000000011000000110110
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_229.jpg;0111101101011101001111110110000110000011100101110111110111111000101001001000100000100100100101101101011011010110101001000001111010101100000000000001010000000000000000000101000101010011111011101101010101101010110100001010101001000010100100001010010000101000011010000101101111010001101011010101111011010000011011101101010100011010111010000101000100010101010101000100011011010010111001001010100001011110100000001010010010100100100100100110010011001100011111110011111110001000000000101111100011111011110110010101110
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_228.jpg;0000100100011101010100110010000111110010001101000100100000010000011001101111110111011011011011000110110001101100000000001010100001000100001010101010010001111110001011001010101001000000010101101111101100110101101110100001000110110001000010101101011010110100101101010010100001001010010100101011010101101111110100010110111110010101001010101110101010101010101011101010101110111010000101000110101010010100101010011010100010100110110000000100000010111000111111010000010000001000110000000111100110100001001000001000000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_200.jpg;0011111111111001010110100010000000001100011110001000100010000100000000000000000001100100100101011101011110110101101010010101001111111111010101010101000101010001010101010001000000010001101010101110000001001010111000010110111000010110111100001010110001101100010010110101101011010010101001010110101101010000111011110001010010101010111101000000000000000000101000000000000100000001010110101111110101000010100001001110010010010010110110010010001001110010001110011110010010110000000011100010110111010000010000001100000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_214.jpg;1110000010000110101011001000010000011111110011111110001110011111110111011101100110110110110110110100101101001010010101001010100000000000111110111110101010111111101010101111111110000101010110111010110100010011101011010101101110010101101010010110111101011011110100111101011111110001011011110101111111010101011010111001010101101010101000000000000001000000000000000000010000010100001001000000101010010100111101000010000001101101101001011011101111111111011000010000000100100000111110010100000101111001101010010100100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_176.jpg;1110000001110001000101100000100001111001111100111001111000000101101110110111011110011011010011010111110101101011000111111010010100000010101000000000000000101010110100010111110110111110101000000000000111101101110100001010100000010111101110011111011111110001101001010010100101001011010101001100000101101010101000000101000010101010111000001000000000000000010000000001010101001011111110010101010011111101010011000110010110100101111100010101011111110001001110111000000011110011100110001000111000101111111100010001110
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_162.jpg;0000111011111101000110110011100111111101000111111111100001010001100010101101110110111001101010010010010010100000101011010001011110101111110101010100000000000101010101010000000000111110101011010000001011101000010100101010010101101010010100101001010110100100001010010010101001011010100101001010110101001010101010010000100010101000000000001010101010101010111010111011111010101010100101000100101010100100001010010000100100101001011001111101100110101001110011110101000101111111110100010001100010000101011100111000001
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_189.jpg;0011101000001001011110010001110110011101101010011111101101101001110111001100100000100000101001001101011111001010100000000101001111101010101111111010000101010101011110111111111111101101010101111110111101010101101010110001001010110001001010101001011011000001101101011011000100101100010010101100010111001110100101001100101001000000001010101110100010101110101010101110101010010101101000000101001111100101001011010110110110100100100000000010010001001110111000111000011100000000001000011111001101111111111111001000100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_348.jpg;0000111000001010010111111010001010100001100111001001110000110000000011011101110110110010010010000110100101101110010100101010100010101111111111010100000000100101010100010101101111111000100001000000001010101001000000101111110011001000111010000100101001010010110100111001010001101000010110101101010011101000010100011110101001010001010110111110111010101110101110101110101000010101000100011010101001010010101101001011010110010111010010010010101100100011000010001111101110000110000000000000001001101011110111111111100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_33.jpg;1111100000100110111011001100100010011001111111010111000111100011001100110111011111011011010011001011010010100100101011000101001011101010000000001111100000101110111010101011100000010100000010101010100001001010100100010010101100010011111101010010100101001110010111100101001010010101001010010100101010000101000011101110010001001010111010101111100101000101101100011110110110100101010001011111101111010001011011110001111101010011011111001011100010001000100011110011110100111101110000000010000001101010100001100100000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_374.jpg;0000111101111001010110110011100101111111100111010001011000110011100010011011001101111101100001101001001011000100101011000101000010101010101010100001000000000000010111111110111111111011110100010100101011100101010011111000010100101011010111111001000110110101111011010010100101001110000100001110100100001111101001010000101111101010100100010100010001000011111110110101010101010101001111111111010101001011110101111101011111010011011011011011101000100011100011001111001111011101011111110011000111110101111101000010000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_412.jpg;0000010111011001011110100000101000000000000000100010111000110010100010001001001101101101101101111101001011010110101001010110101110100001010000010001000110101011010101010100000101010001101010111001000101001111100100010010101101010010111001010010100101001011010111100101001110010101101010010100101110110101011011101010010100000010111110101110101111111111111111111111111111101011111110010101100010100000101011001110110010110110110010100001000100000000001010000010000000101011111100010011000100101111110101000000000
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_406.jpg;0010101010001100000010100010100011110000000111000011111001110010101110101010001001101101101101101101011011010101101010010101111110110101000101010000000000000101010101010000010100011110101011100100010011101010010101001010110000011010110101011010010101101101011010110101101111010100101001000100101010010000001011101001010101101010111110110101010101000001010101010101010100011010111010110101010110101001010110110101101101001001001001000101100110011000010010101110101011000000000000000110111100101010100010000000100
Russian Revival;314;/data/data_final_100_learn/Russian Revival/Russian_Revival_360.jpg;1101000011111000000000100100101111111111101011000000111010101000100011001010101100100101100101101101001011010011101101010100111010100000010000000000000000010101000001010101000101010111101010111101000101101010110000011010101000010010111101011010110101101010010110110001001110110101101011010101001011110101010010101010000000010010111111101000000001000000000001000000010001001010111010100101010111110101011011110100100100100000100100100000000011100100010010100010011000100101111110000110101000001010100010000000000
